CLUESmallArea,numberofplaces
Carlton,13
Docklands,15
East Melbourne,2
Kensington,3
Melbourne (CBD),179
Melbourne (Remainder),1
North Melbourne,12
Parkville,3
South Yarra,1
Southbank,24
West Melbourne (Residential),3
